Nombre ejercicio,Grupo muscular principal,Grupo muscular secundario,Lugar de entrenamiento: casa/gimnasio,Nivel de dificultad,Material necesario,Equipamiento opcional,Tags GPT,URL video\n\n,,
Tríceps tumbado con barra,Tríceps,Hombros,Gimnasio / Casa equipada,Intermedio,Barra larga,Banco,"empuje, aislado, intermedio, barra larga, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1DH5fGVJao-TgW4Q-Zi_1MVBM1jkPvav5/view?usp=drivesdk,,
Curl predicador con barra,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Banco Scott + barra,Ninguno,"tracción, aislado, intermedio, banco scott + barra, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1EjH7IYOo2i6Lwg3nfZSCEsMe-Fn8X2Nv/view?usp=drivesdk,,
Curl predicador con barra,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Banco Scott + barra,Ninguno,"tracción, aislado, intermedio, banco scott + barra, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/16CcvDTw4Uuw3hn6kqn7ujPp8X6u6uaBG/view?usp=drivesdk,,
Flexión diamante (apoyado en rodillas),Tríceps,Pectoral,Casa / Gimnasio,Principiante,Peso corporal,Esterilla,"empuje horizontal, aislado, principiante, peso corporal, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1pBjbXEZHDWhwrKU7sS1VQBmBPyApUhhq/view?usp=drivesdk,,
Fondos de tríceps en suelo con banco,Tríceps,Hombros,Casa / Gimnasio,Principiante,Banco,Ninguno,"empuje, aislado, principiante, banco, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1yO_op1xpzBfTS9LusXiUptbO6PBAV6oV/view?usp=drivesdk,,
Empuje de tríceps desde suelo (Body-up),Tríceps,Pectoral,Casa / Gimnasio,Principiante,Peso corporal,Ninguno,"empuje, aislado, principiante, peso corporal, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1HKbGyop1jY96Og5V0a8rssGSsYD_CAJ-/view?usp=drivesdk,,
Curl invertido con piernas flexionadas,Bíceps,Espalda,Casa / Gimnasio,Intermedio,Barra o TRX,Banco bajo,"tracción, aislado, intermedio, barra o trx, hipertrofia, casa, bíceps, espalda",https://drive.google.com/file/d/18XrS1oi7C5dcL5Pttwur-v39mM-cg752/view?usp=drivesdk,,
Fondos a una pierna en el suelo,Tríceps,Glúteo,casa/gimnasio,Avanzado,Peso corporal,Ninguno,"empuje, aislado, avanzado, peso corporal, hipertrofia, casa, tríceps, glúteo",https://drive.google.com/file/d/1XV6tmPJGEG8B7e9vGVAaq6a9XfFox_k1/view?usp=drivesdk,,
Estiramiento vertical de brazos,Hombros,Tríceps,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"aislado, multiarticular, principiante, ninguno, hipertrofia, casa, hombros, tríceps",https://drive.google.com/file/d/1J2hL4nKrLFA_9kHdygahgjgPXdErPGaJ/view?usp=drivesdk,,
Curl de bíceps con polea baja,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Polea baja + barra recta,Ninguno,"tracción, aislado, intermedio, polea baja + barra recta, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1aY533hFMqumFz0ZyrzufPASUwBMPh8vE/view?usp=drivesdk,,
Curl de bíceps con cable,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Polea baja + agarres,Ninguno,"tracción, aislado, intermedio, polea baja + agarres, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1dZcJpIK3-G970EZq6r1rfWFQXSbJ9cnR/view?usp=drivesdk,,
Extensión de tríceps por encima con polea alta,Tríceps,Hombros,Gimnasio,Intermedio,Polea alta + cuerda,Ninguno,"empuje, aislado, intermedio, polea alta + cuerda, hipertrofia, gimnasio, tríceps, hombros",https://drive.google.com/file/d/1YhzwEFOnrISHG8--1y-LYIKEtd7b5kt3/view?usp=drivesdk,,
Patada de tríceps con cable,Tríceps,Hombros,Gimnasio / Casa equipada,Intermedio,Polea baja + agarre recto,Ninguno,"empuje, aislado, intermedio, polea baja + agarre recto, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1i5zuKICqw-p7YzS3jDGbt8_mhU_RXoIT/view?usp=drivesdk,,
Flexión diamante,Tríceps,Pectoral,Casa / Gimnasio,Intermedio,Peso corporal,Esterilla,"empuje horizontal, aislado, intermedio, peso corporal, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/16fRMX7X62N2q23Ih5DXzrda94TGkFx8Z/view?usp=drivesdk,,
Curl de bíceps con barra EZ,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Barra EZ,Ninguno,"tracción, aislado, intermedio, barra ez, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1pUAFxTDOTabBgkOPFuLNCRmLGhtAOg_3/view?usp=drivesdk,,
Extensión de tríceps de pie con barra EZ (French press),Tríceps,Hombros,Gimnasio / Casa equipada,Intermedio,Barra EZ,Ninguno,"empuje, aislado, intermedio, barra ez, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1bZghzNRX0V-QPIRHhk5gYdRz9udY7uxr/view?usp=drivesdk,,
Curl predicador en máquina,Bíceps,Antebrazo,Gimnasio,Intermedio,Máquina predicador,Ninguno,"tracción, aislado, intermedio, máquina predicador, hipertrofia, gimnasio, bíceps, antebrazo",https://drive.google.com/file/d/1Os4s8eskPAQtwJ0y-SyxFY32-hD2jThr/view?usp=drivesdk,,
Fondos en máquina sentado,Tríceps,Hombros,Gimnasio,Intermedio,Máquina fondos,Ninguno,"empuje, aislado, intermedio, máquina fondos, hipertrofia, gimnasio, tríceps, hombros",https://drive.google.com/file/d/1O0gCogmO9wGMnz0QkWtYnYX-m8mrCsfH/view?usp=drivesdk,,
Curl predicador en máquina,Bíceps,Antebrazo,Gimnasio,Intermedio,Máquina predicador,Ninguno,"tracción, aislado, intermedio, máquina predicador, hipertrofia, gimnasio, bíceps, antebrazo",https://drive.google.com/file/d/1QPns3CTl11yNxlGsNa-T1ILo6mj8vP5E/view?usp=drivesdk,,
Remo sentado a una mano en máquina (agarre neutro),Dorsal,Bíceps,Gimnasio,Intermedio,Máquina de remo,Ninguno,"aislado, multiarticular, intermedio, máquina de remo, hipertrofia, gimnasio, dorsal, bíceps",https://drive.google.com/file/d/1IkHpazcjptnYJpFvo70tf902WxrTLGPg/view?usp=drivesdk,,
Fondos de tríceps en máquina sentado,Tríceps,Hombros,Gimnasio,Intermedio,Máquina fondos,Ninguno,"empuje, aislado, intermedio, máquina fondos, hipertrofia, gimnasio, tríceps, hombros",https://drive.google.com/file/d/1mhyiebg1fT47AGCMbaKh-94XT42VcE3U/view?usp=drivesdk,,
Pushdown con banda elástica,Tríceps,Hombros,Casa / Gimnasio,Principiante,Banda elástica,Ninguno,"empuje, aislado, principiante, banda elástica, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1KQ7t-F_B_T_AgIHJp9rBwR0x4Xlut7U6/view?usp=drivesdk,,
Pushdown con banda elástica,Tríceps,Hombros,Casa / Gimnasio,Principiante,Banda elástica,Ninguno,"empuje, aislado, principiante, banda elástica, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1a5SYhd83OfFEMoGQygdTERq9fV8Y4-we/view?usp=drivesdk,,
Curl de bíceps con barra,Bíceps,Antebrazo,Casa / Gimnasio,Intermedio,Barra larga,Ninguno,"tracción, aislado, intermedio, barra larga, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1usrUkuS-w0Wb2j7phgrs0HA0Q1CEhrIQ/view?usp=drivesdk,,
Curl tipo drag con barra,Bíceps,Antebrazo,Casa / Gimnasio,Intermedio,Barra larga,Ninguno,"tracción, aislado, intermedio, barra larga, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1O3_Ck_uGGgO_1zh63Ahku0smVoY5AbDg/view?usp=drivesdk,,
Curl de bíceps con agarre cerrado de pie,Bíceps,Antebrazo,Casa / Gimnasio,Intermedio,Barra larga,Ninguno,"tracción, aislado, intermedio, barra larga, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1td0YFoFJGlWGvjIRiwaz6hprdp3ANkc0/view?usp=drivesdk,,
Curl concentración de pie con barra,Bíceps,Antebrazo,Casa / Gimnasio,Intermedio,Barra larga,Ninguno,"tracción, aislado, intermedio, barra larga, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1mcRHqLEUWLr2xEuE8q9bABqI96JnwAz7/view?usp=drivesdk,,
